"Reviewer_name","Review_title","Rating","Date_of_experience","Review_description"
"['mr', 'luyambi']","['great', 'customer', 'care', 'service', 'iam', 'greatly']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['great', 'customer', 'care', 'service', 'iam', 'greatly', 'thrilled', 'crystal', 'travels', 'excellent', 'service', 'might', 'fourth', 'booking', 'record', 'never', 'encountered', 'problem', 'also', 'pleased', 'great', 'customer', 'care', 'service', 'offered', 'candice', 'stone', 'today', 'previously', 'carolina', 'diaz', 'hannah', 'ronald', 'great', 'care', 'service', 'exhibited']"
"['suhail', 'ahmed', 'minnoor']","['recently', 'booked', 'flights', 'joy', 'wilson']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['recently', 'booked', 'flights', 'joy', 'wilson', 'crystal', 'travels', 'london', 'help', 'fantastic', 'experience', 'found', 'great', 'price', 'flights', 'extremely', 'patient', 'needed', 'book', 'tickets', 'whole', 'process', 'smooth', 'easy', 'highly', 'recommend', 'joy', 'wilsons', 'service', 'friends', 'colleagues', 'future', 'booking', 'thanks']"
"['roxane', 'de', 'souza']","['helpful', 'member', 'crystal', 'travel']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['change', 'airline', 'schedule', 'threw', 'us', 'balance', 'however', 'arvbaz', 'able', 'bring', 'us', 'calm', 'satisfaction', 'made', 'changes', 'speaking', 'manager', 'additional', 'cost', 'incurred', 'thank']"
"['fernanda', 'cabrera', 'de', 'souza']","['recently', 'booked', 'roundtrip', 'ticket']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['recently', 'booked', 'roundtrip', 'ticket', 'rome', 'paulo', 'crystal', 'travel', 'experience', 'excellent', 'staff', 'alfred', 'shaw', 'polite', 'friendly', 'even', 'managed', 'find', 'seat', 'reasonable', 'rate', 'overall', 'booking', 'process', 'quicki', 'highly', 'recommend', 'crystal', 'travel', 'anyone', 'looking', 'hasslefree', 'costeffective', 'booking', 'experience', 'ill', 'definitely', 'consider', 'future', 'travel', 'plans']"
"['bessie']","['ask', 'octavio']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['just', 'booked', 'flight', 'ticket', 'crystal', 'travel', 'helped', 'octavio', 'garcia', 'patient', 'explained', 'everything', 'got', 'exactly', 'wanted', 'took', 'away', 'stress', 'hustle', 'comes', 'finding', 'perfect', 'fight', 'surely', 'using', 'onwards', 'travel', 'thank', 'octavio', 'garcia']"
"['jose', 'goncalves']","['booking', 'ticket']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['booking', 'ticket', 'company', 'take', 'money', 'suddenly', 'found', 'crystal', 'palace', 'help', 'lots', 'find', 'cheap', 'tickets', 'give', 'alternative', 'payment', 'help', 'lots', 'really', 'appreciate', 'done', 'recommend']"
"['katherine', 'farrell']","['although', 'always', 'cautious']","['excellent']","['eight', 'december', 'twothousandtwentyfour']","['although', 'always', 'cautious', 'purchasing', 'products', 'services', 'online', 'crystal', 'travel', 'great', 'although', 'sent', 'agent', 'sold', 'flights', 'two', 'emails', 'didnt', 'get', 'response', 'either', 'whether', 'thats', 'dealt', 'sales', 'sales', 'sure', 'since', 'called', 'customer', 'services', 'several', 'times', 'proactive', 'called', 'back', 'say', 'since', 'let', 'definitely', 'use', 'lovely', 'staff', 'olivia', 'freya', 'now', 'can', 'relax', 'look', 'forward', 'seeing', 'family', 'new', 'zealand', 'christmas']"
"['kris', 'secreto']","['amazing', 'booking', 'exprerience', 'claire', 'harp']","['excellent']","['three', 'december', 'twothousandtwentyfour']","['travel', 'agent', 'claire', 'helpful', 'patient', 'us', 'understood', 'need', 'able', 'deliver', 'need', 'first', 'time', 'family', 'traveller', 'smooth', 'easy', 'booking', 'im', 'first', 'time', 'customer', 'always', 'booked', 'crystal', 'trave', 'reliable']"
"['luj', 's']","['first', 'time', 'used', 'crystal']","['excellent']","['five', 'december', 'twothousandtwentyfour']","['first', 'time', 'used', 'crystal', 'travels', 'didnt', 'start', 'well', 'steve', 'managed', 'regain', 'trust', 'helped', 'book', 'ticket', 'requirements', 'made', 'stressful', 'task', 'easy', 'constantly', 'available', 'calls', 'emails', 'reliable', 'definitely', 'calling', 'back', 'future', 'bookings']"
"['adrian', 'pearce']","['excellent', 'company', 'deal', 'stars']","['excellent']","['five', 'december', 'twothousandtwentyfour']","['firstly', 'booking', 'flight', 'always', 'stressful', 'make', 'sure', 'everything', 'covered', 'ronald', 'superb', 'job', 'nothing', 'much', 'trouble', 'explained', 'things', 'manner', 'calmed', 'fears', 'right', 'seat', 'choice', 'close', 'bathrooms', 'etc', 'got', 'say', 'brilliant', 'service', 'proper', 'looked', 'recommend', 'anyone', 'using', 'crystal', 'travel', 'absolutely', 'star', 'rating']"
"['customer']","['lisa', 'great', 'helped', 'book', 'via']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['lisa', 'great', 'helped', 'book', 'via', 'phone', 'online', 'booking', 'failed', 'super', 'clear', 'communication', 'offered', 'good', 'advise']"
"['mr', 'kung']","['never', 'used', 'company', 'now']","['excellent']","['eight', 'december', 'twothousandtwentyfour']","['never', 'used', 'company', 'now', 'book', 'holiday', 'trip', 'traveling', 'agents', 'quick', 'honest', 'response', 'unmatched', 'price', 'competitive', 'service', 'extemporary', 'must', 'mention', 'stella', 'stevens', 'made', 'trip', 'much', 'relaxing', 'thank', 'stella']"
"['niraj', 'pathare']","['exceptional', 'service', 'seamless', 'booking', 'experience']","['excellent']","['twentynine', 'november', 'twothousandtwentyfour']","['recently', 'booked', 'flights', 'jerrys', 'help', 'fantastic', 'experience', 'found', 'great', 'price', 'flights', 'extremely', 'patient', 'needed', 'book', 'three', 'tickets', 'two', 'passengers', 'one', 'booking', 'one', 'another', 'wanted', 'return', 'together', 'jerry', 'managed', 'coordinate', 'everything', 'perfectly', 'ensuring', 'return', 'flight', 'whole', 'process', 'smooth', 'easy', 'highly', 'recommend', 'jerrys', 'service']"
"['meghraj', 'bk']","['sergio', 'gomez', 'go', 'guy']","['excellent']","['twentynine', 'november', 'twothousandtwentyfour']","['sergio', 'gomez', 'go', 'guy', 'want', 'quick', 'dedicated', 'service', 'also', 'polite', 'considerate', 'works', 'around', 'work', 'commitments', 'patient', 'still', 'took', 'time', 'ensure', 'heard', 'understood', 'saying', 'let', 'know', 'wife', 'daughter', 'travelling', 'question', 'small', 'found', 'best', 'deal', 'given', 'upthank', 'sergio', 'gomez', 'next', 'booking', 'definitely', 'youwith', 'kind', 'regardsmeghraj']"
"['camilosj']","['reassuring']","['excellent']","['three', 'december', 'twothousandtwentyfour']","['made', 'inquiry', 'regarding', 'flight', 'family', 'made', 'last', 'august', 'go', 'home', 'next', 'weeks', 'confirm', 'booking', 'line', 'freya', 'responsive', 're', 'assuring', 'shes', 'even', 'immediately', 'return', 'call', 'put', 'look', 'book', 'withshe', 'just', 'put', 'mind', 'ease']"
"['mr', 'john', 'david', 'lloyd']","['date', 'change']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['rd', 'th', 'time', 'used', 'crystal', 'travel', 'arbaz', 'continued', 'star', 'experience', 'agency', 'thank']"
"['james']","['tried', 'book', 'flight']","['bad']","['seven', 'december', 'twothousandtwentyfour']","['tried', 'book', 'flight', 'email', 'flight', 'availablei', 'called', 'told', 'ticketed', 'longer', 'availablei', 'said', 'still', 'website', 'jazz', 'promised', 'call', 'back', 'within', 'min', 'didnt', 'called', 'back', 'said', 'escalate', 'call', 'back', 'following', 'day', 'assured', 'erroneous', 'ticket', 'price', 'removed', 'websitewhen', 'called', 'following', 'day', 'said', 'said', 'unacceptable', 'especially', 'still', 'showing', 'live', 'wrong', 'priceavoid', 'sharp', 'practice']"
"['raul']","['alfred', 'crystal', 'traval', 'really']","['excellent']","['three', 'december', 'twothousandtwentyfour']","['alfred', 'crystal', 'traval', 'really', 'attentive', 'calmed', 'professional', 'helped', 'airline', 'ref', 'number', 'wanted', 'checed', 'early', 'flight', 'offered', 'fare', 'honoured', 'recommended']"
"['bipin', 'bhatt']","['crystal', 'booking']","['excellent']","['seven', 'december', 'twothousandtwentyfour']","['best', 'competitive', 'site', 'tickets', 'claire', 'harp', 'made', 'booking', 'quick', 'easy', 'wonderful', 'experience', 'polite', 'helpfulhighly', 'recommend']"
"['dudley', 'van', 'lelyveld']","['james', 'smith']","['excellent']","['three', 'december', 'twothousandtwentyfour']","['james', 'smith', 'handled', 'requests', 'various', 'flight', 'quotes', 'followed', 'numerous', 'changes', 'efficiently', 'professionallywe', 'ended', 'attractive', 'fares', 'london', 'sydney', 'james', 'explained', 'everything', 'us', 'well', 'handling', 'seat', 'allocations']"
"['taylor']","['con', 'artists']","['bad']","['seven', 'december', 'twothousandtwentyfour']","['displaying', 'flights', 'online', 'book', 'try', 'ringing', 'payment', 'declined', 'asking', 'change', 'flight', 'double', 'pricejust', 'poor', 'marketing']"
"['darren', 'jones']","['booked', 'flight', 'months', 'ago']","['excellent']","['thirty', 'november', 'twothousandtwentyfour']","['booked', 'flight', 'months', 'ago', 'olivia', 'clark', 'nice', 'professional', 'found', 'us', 'amazing', 'deal', 'flightsafter', 'completed', 'booked', 'said', 'call', 'back', 'day', 'fly', 'help', 'check', 'inive', 'just', 'phone', 'checked', 'wife', 'ini', 'grateful', 'assistance', 'recommend', 'crystal', 'travel', 'anyone', 'looking', 'amazing', 'travel', 'company', 'thats', 'goes', 'way', 'make', 'experience', 'travelling', 'easythanks', 'olivia', 'clarkthanks', 'darren', 'jones']"
"['babu', 'ram', 'thapa']","['excellent', 'service', 'team']","['excellent']","['five', 'december', 'twothousandtwentyfour']","['excellent', 'service', 'team', 'alfred', 'shaw', 'exceptionally', 'helpful', 'sorting', 'issues', 'great', 'patience', 'understanding', 'thank', 'excellent', 'service', 'crystal', 'travels', 'good', 'company', 'reliable']"
"['norma', 'mckenna']","['staff', 'stella', 'stevens', 'assisted']","['excellent']","['three', 'december', 'twothousandtwentyfour']","['staff', 'stella', 'stevens', 'assisted', 'today', 'polite', 'helpful', 'approachable', 'efficient', 'gone', 'extra', 'mile', 'really', 'pleased', 'service', 'far', 'many', 'thanks']"
"['ali']","['big', 'thank', 'claire', 'harp']","['excellent']","['twentyeight', 'november', 'twothousandtwentyfour']","['big', 'thank', 'crystal', 'travel', 'family', 'especially', 'claire', 'kindness', 'efforts', 'truly', 'appreciated', 'wish', 'dealt', 'business', 'manner', 'provided', 'service', 'definitely', 'first', 'time', 'surely', 'last', 'dealing', 'thank', 'much']"
"['mariam', 'k']","['attended']","['excellent']","['three', 'december', 'twothousandtwentyfour']","['attended', 'efficient', 'staff', 'member', 'name', 'sam', 'jones', 'enquiry', 'dealt', 'promptly', 'definitely', 'recommend', 'crystal', 'travel', 'friends', 'family', 'look', 'forward', 'future', 'bookings']"
"['rajib', 'talukdar']","['thankful', 'claire']","['excellent']","['thirty', 'november', 'twothousandtwentyfour']","['thankful', 'claire', 'help', 'sort', 'tickets', 'booking', 'month', 'supportive', 'gave', 'plenty', 'option', 'pay', 'tickets', 'usually', 'kind', 'service', 'never', 'expect', 'thank', 'crystal', 'travel', 'part', 'journey', 'make', 'easier', 'simple']"
"['andrew', 'l']","['helpful', 'friendly']","['excellent']","['twentyeight', 'november', 'twothousandtwentyfour']","['problems', 'trying', 'log', 'china', 'southern', 'web', 'site', 'select', 'confirm', 'seats', 'upcoming', 'trip', 'uk', 'new', 'zealand', 'called', 'crystal', 'travel', 'spoke', 'freya', 'able', 'resolve', 'problem', 'within', 'minutes', 'highly', 'recommended', 'thank']"
"['beverly', 'king']","['jack', 'extremely', 'helpful', 'patient']","['excellent']","['twentynine', 'november', 'twothousandtwentyfour']","['jack', 'extremely', 'helpful', 'patient', 'polite', 'listened', 'carefully', 'ensure', 'needs', 'elderly', 'family', 'member', 'met', 'definitely', 'use', 'crystal', 'travel']"
"['vanessa']","['amazing', 'service', 'results']","['excellent']","['twentysix', 'november', 'twothousandtwentyfour']","['used', 'crystal', 'travel', 'twice', 'recently', 'found', 'great', 'flights', 'deals', 'especially', 'john', 'morris', 'amazing', 'highly', 'recommend', 'using', 'company', 'especially', 'multi', 'flight', 'destinations']"
"['l', 'hatteea']","['superb', 'company']","['excellent']","['two', 'december', 'twothousandtwentyfour']","['attendent', 'sid', 'morgan', 'superb', 'helpfull', 'trying', 'find', 'better', 'fares', 'trip', 'crystal', 'travel', 'best', 'fares', 'tidays', 'search', 'holidays', 'recommend']"
"['aime', 'patrick', 'nishimwe']","['helped', 'professional', 'way']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['helped', 'ina', 'professional', 'waywell', 'done', 'mr', 'sergio']"
"['darrel', 'allan']","['olive', 'clark', 'extremely', 'helpful']","['excellent']","['four', 'december', 'twothousandtwentyfour']","['olive', 'clark', 'extremely', 'helpful', 'sorting', 'issues', 'kenya', 'airways', 'booking', 'particular', 'seats', 'amending', 'personal', 'information', 'etc', 'just', 'helpfulmany', 'thanks']"
"['alan', 'rouse']","['olivia', 'polite', 'helpful']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['olivia', 'polite', 'helpful', 'booking', 'seats', 'flight', 'australia']"
"['ilyas', 'musa']","['just', 'booked', 'flights', 'lisa']","['excellent']","['two', 'december', 'twothousandtwentyfour']","['just', 'booked', 'flights', 'lisa', 'say', 'gave', 'excellent', 'customer', 'service', 'whilst', 'somewhat', 'challenging', 'request', 'well', 'done']"
"['bishnu', 'gurung']","['happy', 'service', 'provided']","['excellent']","['ten', 'december', 'twothousandtwentyfour']","['happy', 'service', 'provided', 'carolina', 'diazcustomer', 'services', 'consultant']"
"['ricardo', 'de', 'vera']","['customer', 'service', 'lady', 'crystal']","['excellent']","['four', 'december', 'twothousandtwentyfour']","['customer', 'service', 'lady', 'crystal', 'named', 'stella', 'helpful', 'patient', 'guiding', 'throughout', 'booking', 'love', 'book', 'future', 'like']"
