"Reviewer_name","Review_title","Rating","Date_of_experience","Review_description"
"['mr', 'luyambi']","['great', 'customer', 'care', 'service', 'iam', 'greatly']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['great', 'customer', 'care', 'service', 'iam', 'greatly', 'thrilled', 'with', 'crystal', 'travels', 'excellent', 'service', 'this', 'might', 'be', 'my', 'fourth', 'booking', 'by', 'record', 'and', 'i', 'have', 'never', 'encountered', 'any', 'problem', 'at', 'all', 'i', 'am', 'also', 'pleased', 'with', 'the', 'great', 'customer', 'care', 'service', 'offered', 'by', 'candice', 'stone', 'today', 'and', 'previously', 'by', 'carolina', 'diaz', 'hannah', 'and', 'ronald', 'for', 'your', 'great', 'care', 'service', 'exhibited']"
"['suhail', 'ahmed', 'minnoor']","['i', 'recently', 'booked', 'flights', 'with', 'joy', 'wilson']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['i', 'recently', 'booked', 'flights', 'with', 'joy', 'wilson', 'in', 'crystal', 'travels', 'in', 'london', 'who', 'has', 'help', 'me', 'and', 'it', 'was', 'a', 'fantastic', 'experience', 'he', 'found', 'a', 'great', 'price', 'on', 'flights', 'and', 'was', 'extremely', 'patient', 'i', 'needed', 'to', 'book', 'tickets', 'the', 'whole', 'process', 'was', 'smooth', 'and', 'easy', 'i', 'highly', 'recommend', 'joy', 'wilsons', 'service', 'to', 'my', 'friends', 'and', 'colleagues', 'for', 'their', 'future', 'booking', 'thanks']"
"['roxane', 'de', 'souza']","['helpful', 'member', 'of', 'crystal', 'travel']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['a', 'change', 'in', 'the', 'airline', 'schedule', 'threw', 'us', 'off', 'balance', 'however', 'arvbaz', 'was', 'able', 'to', 'bring', 'us', 'calm', 'satisfaction', 'when', 'he', 'made', 'the', 'changes', 'after', 'speaking', 'with', 'his', 'manager', 'no', 'additional', 'cost', 'was', 'incurred', 'thank', 'you']"
"['fernanda', 'cabrera', 'de', 'souza']","['i', 'recently', 'booked', 'a', 'roundtrip', 'ticket']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['i', 'recently', 'booked', 'a', 'roundtrip', 'ticket', 'from', 'rome', 'to', 'so', 'paulo', 'with', 'crystal', 'travel', 'and', 'the', 'experience', 'was', 'excellent', 'the', 'staff', 'alfred', 'shaw', 'was', 'very', 'polite', 'and', 'friendly', 'and', 'he', 'even', 'managed', 'to', 'find', 'a', 'seat', 'with', 'reasonable', 'rate', 'overall', 'the', 'booking', 'process', 'was', 'quicki', 'would', 'highly', 'recommend', 'crystal', 'travel', 'for', 'anyone', 'looking', 'for', 'a', 'hasslefree', 'and', 'costeffective', 'booking', 'experience', 'ill', 'definitely', 'consider', 'them', 'for', 'my', 'future', 'travel', 'plans']"
"['bessie']","['ask', 'for', 'octavio']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['i', 'just', 'booked', 'my', 'flight', 'ticket', 'through', 'crystal', 'travel', 'and', 'was', 'helped', 'by', 'octavio', 'garcia', 'he', 'was', 'so', 'patient', 'with', 'me', 'explained', 'everything', 'and', 'got', 'me', 'exactly', 'what', 'i', 'wanted', 'he', 'took', 'away', 'the', 'stress', 'and', 'hustle', 'that', 'comes', 'with', 'finding', 'the', 'perfect', 'fight', 'will', 'surely', 'be', 'using', 'him', 'onwards', 'for', 'all', 'my', 'travel', 'thank', 'you', 'octavio', 'garcia']"
"['jose', 'goncalves']","['i', 'was', 'booking', 'the', 'ticket', 'with', 'other']","['excellent']","['nine', 'december', 'twothousandtwentyfour']","['i', 'was', 'booking', 'the', 'ticket', 'with', 'other', 'company', 'and', 'they', 'take', 'my', 'money', 'but', 'suddenly', 'i', 'found', 'crystal', 'palace', 'which', 'they', 'help', 'me', 'lots', 'to', 'find', 'the', 'cheap', 'tickets', 'for', 'and', 'the', 'give', 'some', 'alternative', 'payment', 'which', 'is', 'help', 'me', 'lots', 'and', 'i', 'am', 'really', 'appreciate', 'what', 'they', 'have', 'done', 'to', 'me', 'recommend']"
"['katherine', 'farrell']","['although', 'i', 'am', 'always', 'cautious', 'about']","['excellent']","['eight', 'december', 'twothousandtwentyfour']","['although', 'i', 'am', 'always', 'cautious', 'about', 'purchasing', 'products', 'and', 'services', 'online', 'crystal', 'travel', 'have', 'been', 'great', 'although', 'i', 'sent', 'the', 'agent', 'who', 'sold', 'me', 'the', 'flights', 'two', 'emails', 'i', 'didnt', 'get', 'a', 'response', 'to', 'either', 'so', 'whether', 'thats', 'because', 'she', 'only', 'dealt', 'with', 'sales', 'and', 'not', 'after', 'sales', 'i', 'am', 'not', 'sure', 'i', 'have', 'since', 'called', 'customer', 'services', 'several', 'times', 'and', 'they', 'have', 'been', 'proactive', 'and', 'called', 'me', 'back', 'when', 'they', 'say', 'they', 'will', 'they', 'have', 'since', 'not', 'let', 'me', 'down', 'i', 'will', 'definitely', 'use', 'them', 'again', 'lovely', 'staff', 'both', 'olivia', 'and', 'freya', 'now', 'i', 'can', 'relax', 'and', 'look', 'forward', 'to', 'seeing', 'my', 'family', 'in', 'new', 'zealand', 'for', 'christmas']"
"['kris', 'secreto']","['amazing', 'booking', 'exprerience', 'with', 'claire', 'harp']","['excellent']","['three', 'december', 'twothousandtwentyfour']","['travel', 'agent', 'claire', 'was', 'very', 'helpful', 'and', 'very', 'patient', 'with', 'us', 'she', 'understood', 'our', 'need', 'and', 'was', 'able', 'to', 'deliver', 'what', 'we', 'need', 'as', 'a', 'first', 'time', 'family', 'traveller', 'smooth', 'and', 'easy', 'booking', 'im', 'not', 'a', 'first', 'time', 'customer', 'and', 'i', 'have', 'always', 'booked', 'with', 'crystal', 'trave', 'very', 'reliable']"
"['luj', 's']","['it', 'was', 'the', 'first', 'time', 'i', 'used', 'crystal']","['excellent']","['five', 'december', 'twothousandtwentyfour']","['it', 'was', 'the', 'first', 'time', 'i', 'used', 'crystal', 'travels', 'it', 'didnt', 'start', 'off', 'well', 'but', 'steve', 'managed', 'to', 'regain', 'my', 'trust', 'and', 'helped', 'book', 'my', 'ticket', 'with', 'all', 'my', 'requirements', 'he', 'made', 'a', 'very', 'stressful', 'task', 'easy', 'and', 'was', 'constantly', 'available', 'with', 'calls', 'and', 'emails', 'very', 'reliable', 'and', 'definitely', 'calling', 'him', 'back', 'for', 'all', 'my', 'future', 'bookings']"
"['adrian', 'pearce']","['excellent', 'company', 'to', 'deal', 'with', 'stars']","['excellent']","['five', 'december', 'twothousandtwentyfour']","['firstly', 'booking', 'a', 'flight', 'is', 'always', 'stressful', 'you', 'have', 'to', 'make', 'sure', 'everything', 'is', 'covered', 'ronald', 'did', 'a', 'superb', 'job', 'nothing', 'was', 'too', 'much', 'trouble', 'and', 'he', 'explained', 'things', 'in', 'a', 'manner', 'that', 'calmed', 'my', 'fears', 'right', 'down', 'to', 'the', 'seat', 'choice', 'not', 'to', 'close', 'to', 'the', 'bathrooms', 'etc', 'got', 'to', 'say', 'brilliant', 'service', 'he', 'proper', 'looked', 'after', 'me', 'and', 'i', 'would', 'recommend', 'anyone', 'using', 'crystal', 'travel', 'absolutely', 'with', 'a', 'star', 'rating']"
